iter	Passed	Remaining
0	139	139686
1	141	70377
2	142	47202
3	143	35640
4	144	28694
5	145	24065
6	146	20762
7	147	18290
8	148	16358
9	149	14823
10	150	13563
11	151	12512
12	153	11621
13	154	10859
14	155	10193
15	156	9621
16	157	9110
17	158	8652
18	159	8243
19	160	7880
20	161	7549
21	163	7249
22	164	6970
23	165	6719
24	166	6486
25	167	6273
26	168	6077
27	169	5893
28	170	5724
29	172	5567
30	173	5415
31	174	5275
32	175	5141
33	176	5015
34	177	4897
35	178	4784
36	179	4680
37	180	4581
38	182	4486
39	183	4397
40	184	4312
41	185	4233
42	186	4157
43	187	4083
44	188	4009
45	190	3941
46	191	3875
47	192	3811
48	193	3752
49	194	3694
50	195	3639
51	196	3584
52	197	3533
53	198	3483
54	200	3437
55	201	3392
56	202	3348
57	203	3304
58	204	3263
59	205	3221
60	206	3182
61	207	3143
62	208	3107
63	210	3071
64	211	3037
65	212	3003
66	213	2970
67	213	2931
68	215	2902
69	216	2872
70	217	2845
71	218	2816
72	219	2788
73	220	2760
74	221	2735
75	222	2708
76	223	2683
77	225	2660
78	226	2637
79	227	2614
80	228	2591
81	229	2569
82	230	2547
83	231	2529
84	232	2505
85	233	2486
86	234	2462
87	235	2445
88	237	2426
89	238	2409
90	239	2391
91	240	2373
92	241	2356
93	242	2339
94	243	2322
95	244	2306
96	246	2290
97	247	2276
98	248	2261
99	249	2246
100	250	2232
101	251	2213
102	252	2198
103	253	2185
104	254	2171
105	255	2158
106	257	2145
107	258	2132
108	259	2119
109	260	2106
110	261	2095
111	262	2083
112	263	2071
113	265	2062
114	266	2052
115	267	2040
116	268	2029
117	270	2019
118	271	2007
119	272	1997
120	273	1986
121	274	1976
122	275	1962
123	276	1952
124	277	1943
125	278	1934
126	279	1924
127	280	1912
128	281	1903
129	283	1894
130	284	1885
131	285	1877
132	286	1868
133	287	1859
134	288	1850
135	290	1842
136	291	1834
137	292	1826
138	293	1818
139	294	1810
140	295	1802
141	296	1794
142	298	1786
143	299	1778
144	300	1771
145	301	1763
146	302	1756
147	303	1749
